"","ResponseId","involve","org_representation","org","org_type","title","tasks","affiliations","location","informShort","informLong","concernShort","concernLong","agree","science","info","impact","top_sector","policy","collabActivities","barriers","resources","forum_name","forummImpact_DD","forummGoals_DD","forummProgress_DD","forummFairness_DD","forummProcess_DD","forummBarriers_DD","forumImpact_RMSI","forumGoals_RMSI","forumProgress_RMSI","forumFairness_RMSI","forumProcess_RMSI","forumBarriers_RMSI","forumImpact_CSLRSP","forumGoals_CSLRSP","forumProgress_CSLRSP","forumFairness_CSLRSP","forumProcess_CSLRSP","forumBarriers_CSLRSP","forumImpact_CRHMP","forumGoals_CRHMP","forumProgress_CRHMP","forumFairness_CRHMP","forumProcess_CRHMP","forumBarriers_CRHMP","collaboratorsFed","collaboratorsState","collaboratorsLocalRegional","collaboratorsNGO","missing_collaborators"
"73","R_2Qi9ZYtTOVdSoW9","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","town of sullivan's island","local government","Deputy Administrator","Executive Management","no","Sullivan's Island (Charleston County)","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","High","Communication of scientific results or estimates in plain, accessible language,Direct relationship with scientists working on sea-level rise,Stakeholder agreement on the interpretation of scientific information","Comp Plan and Zoning Regulations","They are starting to be felt right now","Transportation Infrastructure, Coastlines, Property Values","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios; Empower an existing regional authority to address sea-level rise in the area","Engaging in joint planning with other organizations,Training personnel from other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations","Scarce budgetary/staff resources","Too Little","Dutch Dialogues Report (2019),City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan","10","Strongly agree","Strongly agree","7","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants did not share common views",NA,NA,NA,NA,NA,NA,"6","Strongly agree","Strongly agree","7","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants do not share common views","10","Strongly agree","Strongly agree","6","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants do not share common views","FEMA","DHEC, County","County","other cities",NA
"74","R_1OvDOg71H4sZCKp","A major aspect of my work for 1-5 years","Yes, I am involved on behalf of one organization","city of charleston","local government","City Administrator","Executive Management,Policy Analysis,Planning,Governmental Affairs,Project Management,Advocacy,Outreach/Communication","SC Beach Advocates","City of Folly Beach (Charleston County)","Well-Informed","Well-Informed","Very Concerned","Very Concerned","High","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Availability of a source of translation of scientific knowledge into cost estimates","10+","They have been felt for a while already","Transportation Infrastructure, Water Supply Infrastructure, Coastlines","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Joining or supporting litigation or other judicial processes","Scarce budgetary/staff resources,Knowledge of staff,Uncertainty of the future extent of sea-level rise,Uncertainty about how quickly sea-level rise will happen,Lack of awareness about other organizations’ activity,Permitting obstacles,Lack of public support for policies addressing sea-level rise","About Right","U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,Charleston Regional Hazard Mitigation Plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","R_9vpKHYg2MKAIblv","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","sc state house","state government","Representative ","Other: Elected Official","City of Folly Beach","City of Folly Beach (Charleston County)","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Very High","Communication of scientific results or estimates in plain, accessible language,Other: Lists of practical solutions","Many","They are starting to be felt right now","Transportation Infrastructure, Water Supply Infrastructure, Waste and Stormwater","Pass a tax measure at the local/county/state level to address sea-level rise; Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise; Promote projects aimed at accommodating sea-level rise with infrastructure","Sharing information with other organizations,Engaging in joint planning with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Joining or supporting litigation or other judicial processes,Carrying out advocacy activities jointly with other organizations","Scarce budgetary/staff resources,Lack of an overarching plan,Permitting obstacles","Too Little","U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study",NA,NA,NA,NA,NA,NA,"5","Strongly disagree","Somewhat disagree","1","Don't know","The initiative lacks authority to produce binding decisions,Other: The outdated cost-benefit software used by the Army Corps only shows a benefit for hard armoring. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Office of Resilience","City of Folly Beach","0",NA
"76","R_2YCXbxORLwY69qB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","R_3Gj4Ydo7BPhDumL","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","charleston county","local government",NA,"Executive Management,Policy Analysis,Project Management",NA,"All of Charleston County","Well-Informed","Well-Informed","Somewhat Concerned","Very Concerned","Fairly High","Creation of a single platform of available scientific information,Availability of a source of translation of scientific knowledge into cost estimates,Stakeholder agreement on the interpretation of scientific information","multiple","They are starting to be felt right now","Transportation Infrastructure, Water Supply Infrastructure, Waste and Stormwater","Complete vulnerability assessments for the three counties as soon as possible; Pass a tax measure at the local/county/state level to address sea-level rise; Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise","Sharing information with other organizations,Implementing projects jointly with other organizations,Sharing personnel with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations","Scarce budgetary/staff resources,Lack of an overarching plan,Permitting obstacles","Too Little","Dutch Dialogues Report (2019),Charleston Regional Hazard Mitigation Plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","R_1iquVViDbhmwib3","A part of my work, with routine involvement","Yes, I am involved on behalf of several organizations","charleston county","local government","Director of Emergency Management Department","Executive Management,Policy Analysis,Planning,Governmental Affairs,Project Management,Outreach/Communication","The Citadel Near Center for Climate Studies Board of Directors","All of Charleston County","Very Well Informed","Very Well Informed","Concerned","Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Direct relationship with scientists working on sea-level rise,Update existing reports on sea-level rise for the whole tri-county area","3","In the next few decades","Water Supply Infrastructure, Waste and Stormwater, Ecosystems Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","R_3QVNd7TczgaKWeg","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","city of charleston","local government","Sr. Landscape Architect","Planning","No","City of Charleston (Charleston County)","Well-Informed","Well-Informed","Somewhat Concerned","Concerned","Not Very High","Increased stakeholders’ familiarity with scientific tools,Direct relationship with scientists working on sea-level rise",NA,"They are starting to be felt right now","Waste and Stormwater, Ecosystems Health, Public Health","Complete vulnerability assessments for the three counties as soon as possible; Establish a new regional authority to address sea-level rise in the area; Empower an existing regional authority to address sea-level rise in the area","Engaging in joint planning with other organizations,Other","Other","About Right","Dutch Dialogues Report (2019),City of Charleston Sea-level Rise Strategy Plan (2015 or 2019)","6","Somewhat agree","Somewhat agree","5","For most decisions, one group’s gain involves another group’s loss.","The process was controlled by a few dominant stakeholders",NA,NA,NA,NA,NA,NA,"7","Somewhat agree","Somewhat disagree","5","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","The process is controlled by a few dominant stakeholders",NA,NA,NA,NA,NA,NA," n"," n","City of Charleston,"," n",NA
"80","R_1IBl5DEQbES1jls","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","hill construction","other: construction company","Project Manager","Planning,Governmental Affairs,Project Management,Outreach/Communication","No","All of Berkeley County,All of Charleston County,All of Dorchester County,Town of Moncks Corner (Berkeley County),City of Goose Creek (Berkeley County),City of Hanahan (Berkeley County),Daniel Island (Berkeley County),Bonneau (Berkeley County),St. Stephen (Berkeley County),City of Charleston (Charleston County),Town of Mount Pleasant (Charleston County),Town of James Island (Charleston County),City of Folly Beach (Charleston County),Isle of Palms (Charleston County),Town of Kiawah Island (Charleston County),Town of Seabrook Island (Charleston County),Sullivan's Island (Charleston County),City of North Charleston (Charleston County),Ladson (Charleston County),Town of Awendaw (Charleston County),Town of Summerville (Dorchester County),Town of Ridgeville (Dorchester County),Town of St. George (Dorchester County)","Somewhat Informed","Somewhat Informed","Somewhat Concerned","Very Concerned","Not Very High","Update existing reports on sea-level rise for the whole tri-county area,Development of regional reports on sea-level rise,Availability of a source of translation of scientific knowledge into cost estimates","I'm not sure of the number.  2-3","They have been felt for a while already","Transportation Infrastructure, Ecosystems Health, Coastlines","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Empower an existing regional authority to address sea-level rise in the area","Nothing","Scarce budgetary/staff resources,Knowledge of staff,Lack of political leadership of elected officials,Uncertainty about how quickly sea-level rise will happen,Lack of public support for policies addressing sea-level rise","About Right","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FEMA","DEHEC, OCRM","Charleston County, Berkley County","unsure",NA
"81","R_2WDaNHwd7IRfrXL","No involvement",NA,"dorchester county career and technology center","education/academic institution","Architectural Design Instructor","Other: Education","no","All of Dorchester County","Very Well Informed","Very Well Informed","Not Concerned","Not Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Update existing reports on sea-level rise for the whole tri-county area,Development of regional reports on sea-level rise,Other: limit or stop development in low lying coastal areas","none","By 2100","Ecosystems Health, Coastlines, Other","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Promote projects aimed at accommodating sea-level rise with infrastructure; Promote projects with different or innovative design solutions","Other,Nothing: personal education on sea-level rise","Knowledge of staff,Lack of an overarching plan,Other: lack of knowledge 'we can't stop sea-level rise' we must adapt to 'sea-level rise'","About Right","U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,Other,Other, storm water consortium, county development and plannings",NA,NA,NA,NA,NA,NA,"5",NA,NA,"5","Don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCDNR","SCDHEC","Dorchester County","Ashley Cooper Stormwater Consortium",NA
"82","R_1l3NxxBOXW3MzNl","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","stantec consulting services","consulting/research","Environmental Scientist","Project Management","no ","All of Berkeley County,All of Charleston County,All of Dorchester County","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Not Very High","Direct relationship with scientists working on sea-level rise,Update existing reports on sea-level rise for the whole tri-county area,Availability of a source of translation of scientific knowledge into cost estimates","multiple tools! for example scdhec water quality information tool, noaa sea level rise tool, county GIS databases, SCDHEC GIS database, SCDOT GIS database, SCDNR Clearinghouse Data, FEMA flood maps, etc. ","They have been felt for a while already","Waste and Stormwater, Ecosystems Health, Coastlines","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Promote projects aimed at accommodating sea-level rise with infrastructure","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations","Scarce budgetary/staff resources,Lack of awareness about other organizations’ activity,Permitting obstacles","Too Little","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USACE","n/a","Charleston County, Town of James Island, Town of Mount Pleasant","n/a","SCDNR, Charleston County Parks and Recreation, Coastal Conservation League, Nature Conservancy "
"83","R_BVCglp4JgyGg5NL","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","city of charleston","local government","Chief Building Official","Governmental Affairs,Advocacy,Outreach/Communication","No","City of Charleston (Charleston County)","Somewhat Informed","Somewhat Informed","Concerned","Concerned","Fairly High","Increased public availability of scientific knowledge,Creation of a single platform of available scientific information,Update existing reports on sea-level rise for the whole tri-county area,Development of regional reports on sea-level rise,Availability of a source of translation of scientific knowledge into cost estimates,Stakeholder agreement on the interpretation of scientific information","None","Later than 2100","Historically Underserved Communities, Availability of Housing, Affordability of Housing","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Support local jurisdictions to respond to sea-level rise threats as they see fit; Empower an existing regional authority to address sea-level rise in the area","Nothing","Lack of awareness about other organizations’ activity,Lack of relationships with community-based organizations","Too Little","City of Charleston Sea-level Rise Strategy Plan (2015 or 2019)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","Somewhat disagree","Somewhat disagree","5","Don't know","The time demands are too high,Lack of resources",NA,NA,NA,NA,NA,NA,"none","none","City of Charleston, ASFPM","none",NA
"84","R_2SB5Fc2ifIbVgAj","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","town of mount pleasant","local government",NA,"Executive Management,Policy Analysis,Planning,Project Management,Advocacy,Outreach/Communication",NA,"Town of Mount Pleasant (Charleston County)","Somewhat Informed","Well-Informed","Somewhat Concerned","Concerned","Not Very High","Direct relationship with scientists working on sea-level rise,Availability of a source of translation of scientific knowledge into cost estimates,Stakeholder agreement on the interpretation of scientific information","As many as possible but primarily NOAA and SCORM","They are starting to be felt right now","Transportation Infrastructure, Waste and Stormwater, Coastlines","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios","Sharing information with other organizations,Engaging in joint planning with other organizations","Lack of political leadership of elected officials,Lack of public support for policies addressing sea-level rise","Far Too Little","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","DNR/OCRM","COG","n/a","NASA, NOAA, OCRM, Charleston County"
"85","R_1pWsm0YVnXrnDMn","A major aspect of my work for 1-5 years","Yes, I am involved on behalf of one organization","city of charleston","local government","Civil Engineer II","Policy Analysis,Governmental Affairs,Project Management,Advocacy,Outreach/Communication,Other: Plan review for development, setting and increasing standards based upon science","Town of Mount Pleasant Stormwater, Ashley-Cooper Stormwater Educational Consortium, Chas Area Stormwater Manager's Meetings, SC Assn of Stormwater Managers.","City of Charleston (Charleston County)","Well-Informed","Somewhat Informed","Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meetings/forums,Direct relationship with scientists working on sea-level rise,Increased public availability of scientific knowledge,Update existing reports on sea-level rise for the whole tri-county area,Development of regional reports on sea-level rise,Other: Availablility/outreach for LOCAL data to show that it's not just a global problem, it's a CHARLESTON problem.","Final reports by SCINN generally, or SeaGrant studies","They have been felt for a while already","Transportation Infrastructure, Waste and Stormwater, Coastlines","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Promote projects aimed at accommodating sea-level rise with infrastructure","Engaging in joint planning with other organizations,Organizing public meetings jointly with other organizations,Carrying out advocacy activities jointly with other organizations,Other: Enforcing design standards which incorporate SLR effects on future development","Scarce budgetary/staff resources,Lack of an overarching plan,Lack of public support for policies addressing sea-level rise","About Right","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan,Other, City of Chas Technical Review Committee - 2020 SWDSM implementation (SLR standards for developments)","10","Strongly agree","Strongly agree","10","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","The initiative lacks authority to produce binding decisions","6","Somewhat agree","Somewhat disagree","7","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants do not share common views,The process is controlled by a few dominant stakeholders","10","Strongly agree","Strongly agree","9","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","There are no identifiable barriers","6","Strongly agree","Somewhat disagree","10","Don't know","Participants don't attend meetings often enough,The initiative lacks authority to produce binding decisions,Other: The plan, while regional, is basically a collection of each municipality's individual plan. Thus, no true collective plan exists from this document/process.","FEMA","SC EMD, DNR, ","Coastal SC Stormwater manager's group, Charleston Area Stormwater manager's meetings, SCASM","Ashley Cooper Stormwater Education Consortium, SeaGrant, ",NA
"86","R_3efOP7qJ5i00HFG","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of several organizations","coastal master naturalists","non-profit/non-governmental organization","Volunteer","Other: Volunteer","Citizens action","All of Charleston County","Well-Informed","Well-Informed","Very Concerned","Very Concerned","Low","Increased public availability of scientific knowledge,Update existing reports on sea-level rise for the whole tri-county area,Stakeholder agreement on the interpretation of scientific information","All I read","They have been felt for a while already","Water Supply Infrastructure, Energy Infrastructure, Ecosystems Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Empower an existing regional authority to address sea-level rise in the area","Carrying out advocacy activities jointly with other organizations","Scarce budgetary/staff resources,Uncertainty about how quickly sea-level rise will happen,Lack of an overarching plan,Lack of public support for policies addressing sea-level rise","Too Little","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","None","None","Citizen climate,  climate coalition, ",NA
"87","R_3P68PrmClCWSd6Y","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of several organizations","weston and sampson engineers","consulting/research","Climate Adaptation and Resilience Specialist","Policy Analysis,Planning,Scientific Research,Project Management,Outreach/Communication,Other: H&H Modeling","SC Beach Advocates, Johns Island Task Force, Charleston Resilience Network, Southeast Sustainability Directors Network","All of Berkeley County,All of Charleston County,All of Dorchester County,Town of Moncks Corner (Berkeley County),City of Goose Creek (Berkeley County),City of Hanahan (Berkeley County),Daniel Island (Berkeley County),Town of Jamestown (Berkeley County),Bonneau (Berkeley County),St. Stephen (Berkeley County),City of Charleston (Charleston County),Town of Mount Pleasant (Charleston County),Town of James Island (Charleston County),City of Folly Beach (Charleston County),Isle of Palms (Charleston County),Town of Kiawah Island (Charleston County),Town of Seabrook Island (Charleston County),Sullivan's Island (Charleston County),Town of Ravenel (Charleston County),Town of Hollywood (Charleston County),Town of Meggett (Charleston County),City of North Charleston (Charleston County),Ladson (Charleston County),Lincolnville (Charleston County),Rockville (Charleston County),Town of McClellanville (Charleston County),Town of Edisto Beach (Charleston County),Town of Awendaw (Charleston County),Town of Summerville (Dorchester County),Town of Ridgeville (Dorchester County),Town of Harleyville (Dorchester County),Town of Reevesville (Dorchester County),Town of St. George (Dorchester County)","Very Well Informed","Very Well Informed","Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meetings/forums,Update existing reports on sea-level rise for the whole tri-county area","10","They have been felt for a while already","Transportation Infrastructure, Water Supply Infrastructure, Public Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Sharing personnel with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Publishing reports or other public available documents jointly with other organizations,Signing a formal agreement with another organization","Scarce budgetary/staff resources,Distrust among stakeholders,Permitting obstacles,Lack of relationships with community-based organizations","About Right","Dutch Dialogues Report (2019),City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Other,Other, USACE SACS Study, Kiawah Island Resilience Plan","7","Somewhat agree","Somewhat agree","6","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions,Other: Communication of events was limited",NA,NA,NA,NA,NA,NA,"7","Somewhat agree","Somewhat agree","6","Don't know","Participants don't attend meetings often enough,Participants do not share common views",NA,NA,NA,NA,NA,NA,"NOAA, FWS, USACE","SCDNR, SCDHEC","Town of Kiawah Island, Johns Island","Kiawah Island Community Association, Weston & Sampson","South Carolina Office of Resilience, Virginia Institute of Marine Science, Housing and Urban Development, National Weather Service"
"88","R_3kAnODW5GBMhpmv","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","charleston county","local government",NA,"Other: Director","NO","All of Charleston County,Town of James Island (Charleston County),Town of Seabrook Island (Charleston County),Town of Ravenel (Charleston County),Town of Hollywood (Charleston County),Town of Meggett (Charleston County),Ladson (Charleston County),Lincolnville (Charleston County),Rockville (Charleston County),Town of McClellanville (Charleston County),Town of Awendaw (Charleston County)","Well-Informed","Well-Informed","Concerned","Concerned","Low","Scientists’ participation into policy meetings/forums,Increased public availability of scientific knowledge,Stakeholder agreement on the interpretation of scientific information","several ","They are starting to be felt right now","Water Supply Infrastructure, Ecosystems Health, Public Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Pass a tax measure at the local/county/state level to address sea-level rise; Promote projects with different or innovative design solutions","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Training personnel from other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations,Signing a formal agreement with another organization","Scarce budgetary/staff resources,Knowledge of staff,Lack of experience collaborating with other organizations in the tri-county area,Distrust among stakeholders,Lack of political leadership of elected officials,Permitting obstacles,Lack of public support for policies addressing sea-level rise,Lack of relationships with community-based organizations","Too Little","U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan",NA,NA,NA,NA,NA,NA,"8","Somewhat agree","Strongly agree","8","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants do not share common views,The process is controlled by a few dominant stakeholders","8","Somewhat agree","Somewhat agree","8","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants do not share common views,The initiative lacks authority to produce binding decisions,The procedures are confusing","8","Somewhat agree","Somewhat agree","8","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants do not share common views,The procedures are confusing,Lack of resources","FEMA, DOE, HUD","DNR, SCRO","Local Counties and Cities","Research Stockholders  ",NA
"89","R_eeoMfdwV3471j8t","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","city of charleston","local government","Staff Engineer","Project Management",NA,"City of North Charleston (Charleston County)","Well-Informed","Well-Informed","Not Concerned","Somewhat Concerned","Not Very High","Creation of a single platform of available scientific information","2","By 2100","Water Supply Infrastructure, Waste and Stormwater, Coastlines","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios","Carrying out research projects jointly with other organizations","Lack of availability of adequate scientific information","Too Little","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study","5",NA,"Somewhat agree","6","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","The initiative lacks authority to produce binding decisions,There is too much scientific uncertainty,Lack of resources","5","Somewhat disagree",NA,"5","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","The procedures are confusing,There is too much scientific uncertainty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Army Corps","DHEC, SCDNR","DHEC, ","National Geographic",NA
"90","R_3EGctp1d1blRDEW","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","ace basin national estuarine research reserve","state government","Graduate Assistant","Planning,Scientific Research,Project Management,Outreach/Communication","Kiawah Conservancy","All of Berkeley County,All of Charleston County,All of Dorchester County,Town of Moncks Corner (Berkeley County),City of Goose Creek (Berkeley County),City of Hanahan (Berkeley County),Daniel Island (Berkeley County),Town of Jamestown (Berkeley County),Bonneau (Berkeley County),St. Stephen (Berkeley County),City of Charleston (Charleston County),Town of Mount Pleasant (Charleston County),Town of James Island (Charleston County),City of Folly Beach (Charleston County),Isle of Palms (Charleston County),Town of Kiawah Island (Charleston County),Town of Seabrook Island (Charleston County),Sullivan's Island (Charleston County),Town of Ravenel (Charleston County),Town of Hollywood (Charleston County),Town of Meggett (Charleston County),City of North Charleston (Charleston County),Ladson (Charleston County),Lincolnville (Charleston County),Rockville (Charleston County),Town of McClellanville (Charleston County),Town of Edisto Beach (Charleston County),Town of Awendaw (Charleston County),Town of Summerville (Dorchester County),Town of Ridgeville (Dorchester County),Town of Harleyville (Dorchester County),Town of Reevesville (Dorchester County),Town of St. George (Dorchester County)","Well-Informed","Well-Informed","Very Concerned","Very Concerned","Fairly High","Increased stakeholders’ familiarity with scientific tools,Scientists’ participation into policy meetings/forums,Stakeholder agreement on the interpretation of scientific information","10","They have been felt for a while already","Water Supply Infrastructure, Waste and Stormwater, Coastlines","Promote projects aimed at accommodating sea-level rise with infrastructure; Promote projects with different or innovative design solutions; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Training personnel from other organizations,Organizing public meetings jointly with other organizations","Distrust among stakeholders,Lack of political leadership of elected officials,Lack of an overarching plan,Permitting obstacles,Lack of public support for policies addressing sea-level rise","Far Too Little","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOAA","DHEC, Clemson Extension","City of Charleston, Charleston County, Berkley County, Town of Mount Pleasant ","Kiawah Conservancy",NA
"91","R_1rcPGKIrZxf1KWF","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","south carolina aquarium","non-profit/non-governmental organization","Director of Conservation","Executive Management,Scientific Research,Outreach/Communication",NA,"All of Charleston County","Well-Informed","Well-Informed","Very Concerned","Very Concerned","Fairly High","Increased stakeholders’ familiarity with scientific tools,Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Availability of a source of translation of scientific knowledge into cost estimates,Stakeholder agreement on the interpretation of scientific information","Hard to estimate. I'm new to the job. I rely on a variety - model inputs and projections, citizen science, reports, etc.","They have been felt for a while already","Historically Underserved Communities, Availability of Housing, Affordability of Housing","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Focus attention on the impact of sea-level rise on historically underserved communities in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations","Scarce budgetary/staff resources","About Right","Other,Other,Other, Rosemont resilience plan, Maryville Marsh restoration, CORE SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NASA"," SCOR, SCDNR","Charleston County, City of Charleston","LAMC, CCRAB","Gullah Geechee National Heritage Corridor"
