"","ResponseId","involve","org","org_type","title","informShort","informLong","concernShort","concernLong","agree","science","impact","top_sector","policy","collabActivities","barriers","forum_1","forum_2","forum_3","forum_4","forum_5","forumImpact_1","forumImpact_2","forumImpact_3","forumImpact_4","forumImpact_5","forumGoals_1","forumGoals_2","forumGoals_3","forumGoals_4","forumGoals_5","forumProgress_1","forumProgress_2","forumProgress_3","forumProgress_4","forumProgress_5","forumFairness_1","forumFairness_2","forumFairness_3","forumFairness_4","forumFairness_5","forumProcess_1","forumProcess_2","forumProcess_3","forumProcess_4","forumProcess_5","forumBarriers_1","forumBarriers_2","forumBarriers_3","forumBarriers_4","forumBarriers_5","collaboratorsFed","collaboratorsState","collaboratorsLocalRegional","collaboratorsNGO","missing_collaborators"
"32","R_yptZF7ZCpQrPKRr","A part of my work, with routine involvement","city of chesapeake","local government","Comprehensive Planning Administrator","Well-Informed","Well-Informed","Somewhat Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Availability of a source of translation of scientific knowledge into cost estimates","They have been felt for a while already","Transportation infrastructure ,Waste and storm water infrastructure ,Disadvantaged communities ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Pass a tax measure at the local/regional/state level to address sea-level rise,Strengthen existing regional authority to address sea-level rise in the area","Sharing information with other organizations ,Engaging in joint planning with other organizations ","Scarce budgetary/staff resources ,Lack of experience collaborating with other organizations in the Hampton Roads area,Other: Lack of sense of regionalism","Dutch Dialogues","Hampton Roads Adaptation Forum","PDC Coastal Resilience Committee",NA,NA,"5","5","6",NA,NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree",NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,NA,"5","5","5",NA,NA,"Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","R_YbiNVtHaMndFOFz","A part of my work, with routine involvement","virginia sea grant","education/consulting/research","Strategic Partnership Coordinator","Very Well Informed","Very Well Informed","Concerned","Concerned","Not Very High",NA,"They have been felt for a while already",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","R_2a93eHyT6VZixTk","A major aspect of my work for more than 5 years",NA,"environmental group",NA,"Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Not Very High",NA,"They have been felt for a while already",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","R_OJcdJN2dBpiRPQ5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","R_1ClPwa2oz23flNI","A part of my work, with occasional involvement",NA,"trade/business/industry group","Senior Associate","Well-Informed","Well-Informed","Somewhat Concerned","Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Creation of a single platform of available scientific information,Stakeholder agreement on the interpretation of scientific information","They have been felt for a while already","Transportation infrastructure ,Waste and storm water infrastructure ,Coastlines ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Complete vulnerability assessments for all the cities and counties as soon as possible ,Create a single information platform concerning the status of projects related to sea-level rise in the Hampton Roads area, cost projections and scenario ","Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Preparing grant/funding proposals jointly with other organizations ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","R_1goxT5R10pz3ROd","A major aspect of my work for 1-5 years","vhb","trade/business/industry group","Senior Project Manager","Very Well Informed","Very Well Informed","Somewhat Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Increased funding for research practice and hirings in local government","They have been felt for a while already","Transportation infrastructure ,Coastlines ,Property values  ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Complete vulnerability assessments for all the cities and counties as soon as possible ,Create a single information platform concerning the status of projects related to sea-level rise in the Hampton Roads area, cost projections and scenario ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ","Scarce budgetary/staff resources ,Lack of political leadership of elected officials ,Climate science deniers ","HR Adaptation Forum","WaterJAM","Coastal Resilience Projects in HR","Coastal Resilience Projects along the east coast of the US","APWA Sustainability/WR/Resilience Comms","10","7","10","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","10","10",NA,NA,"8","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Don't know","Don't know","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","There were no identifiable barriers","There were no identifiable barriers","Participants didn't attend meetings often enough,Participants were not trustworthy,Lack of resources","Participants didn't attend meetings often enough,There is too much scientific uncertainty,Lack of resources","Participants did not share common views,The initiative lacks authority to produce binding decisions,Lack of resources","USACE","VDOT/DEQ/DCR/DEB","HR Adaptation Forum, Norfolk Coastal Risk Management, all Cities in HR","ERP, Wetlands Watch, multiple HOA's and Civic Leagues",NA
"38","R_Zq1VAVmCySYsliN","No involvement","city of norfolk","local government","Special Projects Director ","Well-Informed","Somewhat Informed","Very Concerned","Very Concerned","Very High","Communication of scientific results or estimates in plain, accessible language,Direct relationships with scientists working on Sea Level Rise,Increased funding for research practice and hirings in local government","They have been felt for a while already","Disadvantaged communities ,Property values  ,Public health ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Focus attention on the impact of sea-level rise on historically underserved communities in the area ,Support local jurisdictions to respond to sea-level rise threats as they see fit ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Training personnel from other organizations ,Sharing personnel with other organizations ,Carrying out research projects jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ","Scarce budgetary/staff resources ,Distrust among stakeholders ,Lack of relationships with community-based organizations ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","R_wZBQF8bY4LYA9LX","A part of my work, with occasional involvement",NA,"other: civic engagement advocate","president","Somewhat Informed","Somewhat Informed","Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Creation of a single platform of available scientific information","They have been felt for a while already","Transportation infrastructure ,Waste and storm water infrastructure ,Energy infrastructure ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Create a single information platform concerning the status of projects related to sea-level rise in the Hampton Roads area, cost projections and scenario ,Strengthen existing regional authority to address sea-level rise in the area","Sharing information with other organizations ","Distrust among stakeholders ,Lack of political leadership of elected officials ,Lack of an overarching plan ,Lack of public support for policies addressing Sea Level Rise ,Climate science deniers ","ULI Reality Check","ODU white house initiative on sea level rise","HRPDC ",NA,NA,"8","6","6",NA,NA,"Strongly Agree","Somewhat Agree","Somewhat Agree",NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Agree",NA,NA,"10","5","5",NA,NA,"For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.",NA,NA,"Other: A very valuable exercise involving hundreds of people had no ""next steps.""","The initiative lacks authority to produce binding decisions,Other: No ""next steps"" or power to make changes.","Participants did not share common views,The initiative lacks authority to produce binding decisions",NA,NA,"US Navy, US Air Force, US Army, Coast Guard, Corps of Engineers.",NA,"Local municipal governments","U.Va.  Union of Concerned Scientists",NA
"40","R_pa7OTe3caG71brz","A major aspect of my work for 1-5 years","old dominion university","state government","University Architect","Well-Informed","Well-Informed","Concerned","Very Concerned","Low","Stakeholder agreement on the interpretation of scientific information","They have been felt for a while already","Waste and storm water infrastructure ,Disadvantaged communities ,Other: Higher Education Infrastructure in Hampton Roads","Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise ,Create a single information platform concerning the status of projects related to sea-level rise in the Hampton Roads area, cost projections and scenario ,Establish a new regional authority to address sea-level rise in the area ",NA,"Scarce budgetary/staff resources ,Lack of an overarching plan ,Permitting obstacles ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lack of collaboration between ODU and DCR and/or DEB on the issues is very frustrating.",NA,"VHB Engineers on the development of a PCSWMM model of the ODU campus.",NA
"41","R_2awTxYmDq1sNlVm","A part of my work, with occasional involvement","retired","other: law firm","Retired environmental attorney","Very Well Informed","Well-Informed","Concerned","Very Concerned","Fairly High","Scientists’ participation into policy meeting,Creation of a single platform of available scientific information,Stakeholder agreement on the interpretation of scientific information","They have been felt for a while already","Transportation infrastructure ,Water supply infrastructure ,Waste and storm water infrastructure ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Promote projects with different or innovative design solutions  ,Strengthen existing regional authority to address sea-level rise in the area","Joining or supporting litigation or other judicial processes ","Lack of political leadership of elected officials ,Lack of public support for policies addressing Sea Level Rise ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","R_1HcTQ3FDCXteyb5","A part of my work, with routine involvement",NA,"trade/business/industry group","Program Manager","Well-Informed","Very Well Informed","Not Concerned","Very Concerned","Very Low","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Increased public availability of scientific knowledge,Creation of a single platform of available scientific information","They have been felt for a while already","Energy infrastructure ,Economic growth ,Property values  ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Complete vulnerability assessments for all the cities and counties as soon as possible ,Establish a new regional authority to address sea-level rise in the area ","Other","Lack of an overarching plan ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","R_1OpG1DxzY7JakVX","A part of my work, with occasional involvement","old dominion university","education/consulting/research","Education Specialist","Somewhat Informed","Somewhat Informed","Very Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Update existing reports on Sea Level Rise for the whole Hampton Roads Area,Increased funding for research practice and hirings in local government","They have been felt for a while already","Transportation infrastructure ,Water supply infrastructure ,Waste and storm water infrastructure ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Complete vulnerability assessments for all the cities and counties as soon as possible ,Create a single information platform concerning the status of projects related to sea-level rise in the Hampton Roads area, cost projections and scenario ",NA,NA,"VMASC Maritime Symposium attendee",NA,NA,NA,NA,"6",NA,NA,NA,NA,"Somewhat Agree",NA,NA,NA,NA,"Somewhat Agree",NA,NA,NA,NA,"6",NA,NA,NA,NA,"Don't know",NA,NA,NA,NA,"There were no identifiable barriers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","R_2z7r8hSHTQlABSz","A part of my work, with routine involvement","afg group inc","multi-jurisdictional","Director of Department of Defense Market and operations","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Direct relationships with scientists working on Sea Level Rise,Creation of a single platform of available scientific information","They have been felt for a while already","Transportation infrastructure ,Ecosystems health ,Coastlines ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Create a single information platform concerning the status of projects related to sea-level rise in the Hampton Roads area, cost projections and scenario ,Promote projects aimed at accommodating sea-level rise with “green” infrastructure ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Organizing public meetings jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ","Lack of political leadership of elected officials ,Lack of an overarching plan ,Lack of public support for policies addressing Sea Level Rise ","Coastal Resilience and Adaptation Economy Consortium ","SAME Industry and Government Engagement Forums","Hampton Roads Adaptation Forum",NA,NA,"7","7","7",NA,NA,"Strongly Agree","Strongly Agree","Strongly Agree",NA,NA,"Somewhat Agree","Somewhat Agree","Somewhat Agree",NA,NA,"8","8","8",NA,NA,"For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.",NA,NA,"Participants didn't attend meetings often enough,The initiative lacks authority to produce binding decisions","Participants did not share common views,The initiative lacks authority to produce binding decisions","Participants didn't attend meetings often enough,The initiative lacks authority to produce binding decisions",NA,NA,"United States Navy and United States Coast Guard","Commonwealth of Virginia Department of Transportation","Hampton Roads Alliance
Old Dominion University
Christopher Newport University","Hampton Roads Federal Military Facility Alliance
Society of American Military Engineers","United States Fish and Wildlife Service, United States National Park Service"
"45","R_80pNcdCFloLWRjP","A major aspect of my work for 1-5 years","old dominion university","education/consulting/research","Director","Very Well Informed","Very Well Informed","Concerned","Very Concerned","Not Very High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meeting","They have been felt for a while already","Transportation infrastructure ,Waste and storm water infrastructure ,Public health ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Create a single information platform concerning the status of projects related to sea-level rise in the Hampton Roads area, cost projections and scenario ,Strengthen existing regional authority to address sea-level rise in the area","Sharing information with other organizations ,Implementing projects jointly with another organizations ,Sharing personnel with other organizations ,Carrying out research projects jointly with other organizations ,Preparing grant/funding proposals jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ","Scarce budgetary/staff resources ","HR Adaptation Forum","HRPDC Coastal Resiliency Working Group","Ctr for Sea Rise Solutions Coastal Resilience Workshop","City of Hampton Sea Level Planning ","City of Virginia Beach Resilience Data Discovery and Planning","7","7","7","7","7","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","10","10","9","9","9","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants did not share common views,The initiative lacks authority to produce binding decisions","Participants did not share common views,The process was controlled by a few dominant stakeholders","Participants didn't attend meetings often enough,Participants did not share common views,The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions","Lack of resources","Lack of resources","NOAA, NASA, FEMA, NSF","Virginia Energy, VDEM","HRPDC, Va Beach, Norfolk, Portsmouth, Hampton, Chesapeake","VT, UVA, W&M, Wetlands Watch, CBF, HRSD, HRBRC ",NA
"46","R_3n12L0nGssozwWd","A part of my work, with routine involvement",NA,"trade/business/industry group","Senior Associate (Engineer)","Well-Informed","Well-Informed","Somewhat Concerned","Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Stakeholder agreement on the interpretation of scientific information","They have been felt for a while already","Transportation infrastructure ,Waste and storm water infrastructure ,Coastlines ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Complete vulnerability assessments for all the cities and counties as soon as possible ,Support local jurisdictions to respond to sea-level rise threats as they see fit ",NA,"Uncertainty about the future extent of sea level rise ,Uncertainty about how quickly sea level rise will happen ,Climate science deniers ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","R_3hFuEealVhwU2u3","A part of my work, with routine involvement","lynnhaven river now","environmental group","Sustainable Yard and Shoreline Restoration Coordinator","Well-Informed","Well-Informed","Concerned","Very Concerned","Fairly High","Creation of a single platform of available scientific information,Update existing reports on Sea Level Rise for the whole Hampton Roads Area,Availability of a source of translation of scientific knowledge into cost estimates","They have been felt for a while already","Transportation infrastructure ,Waste and storm water infrastructure ,Ecosystems health ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise ,Promote projects aimed at accommodating sea-level rise with “green” infrastructure ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Sharing personnel with other organizations ,Carrying out research projects jointly with other organizations ,Preparing grant/funding proposals jointly with other organizations ,Organizing public meetings jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ,Carrying out advocacy activities jointly with other organizations ","Scarce budgetary/staff resources ,Lack of political leadership of elected officials ,Lack of an overarching plan ,Permitting obstacles ,Lack of public support for policies addressing Sea Level Rise ","Hampton Roads Adaptation Forum","Southern Watershed Symposium","Sea Level Wise",NA,NA,"9","10","9",NA,NA,"Somewhat Agree","Strongly Agree","Somewhat Agree",NA,NA,"Strongly Agree","Strongly Agree","Strongly Agree",NA,NA,"9","9","9",NA,NA,"For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.",NA,NA,"The process was controlled by a few dominant stakeholders","There were no identifiable barriers","The process was controlled by a few dominant stakeholders,Other: Isolated to Virginia Beach",NA,NA,"FEMA
NFWF","DCR
DEQ
","Virginia Beach Wetlands Board
Virginia Beach Environmental Committees (Green Ribbon, Open Spaces)","VCN
ODU
VT",NA
"48","R_dap5uMWwHJGAabf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","R_3RyevzWiOM5Q58s","A part of my work, with occasional involvement","noaa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","R_2z5PQ5B1OMz3g8g","No involvement","independent consultant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","R_3qJ4nWJ9osuxS3f","A part of my work, with occasional involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","R_1Dw3eCrmhyod0QZ","A part of my work, with occasional involvement","the mariners' museum and park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","R_DvFcAkQ9ZADnF3H","A part of my work, with routine involvement","sustainability solution group and institute","environmental group","President/CEO","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","High",NA,"They are starting to be felt right now",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","R_2xRxta8ziCFQvlP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","R_1hybZjazpmCU1qT","A part of my work, with occasional involvement","virginia sea grant","other: academia","Strategic Partnership Program Coordinator","Well-Informed","Well-Informed","Concerned","Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Creation of a single platform of available scientific information","They have been felt for a while already","Transportation infrastructure ,Ecosystems health ,Disadvantaged communities ","Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise ,Focus attention on the impact of sea-level rise on historically underserved communities in the area ,Promote projects with different or innovative design solutions  ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Sharing personnel with other organizations ,Carrying out research projects jointly with other organizations ,Preparing grant/funding proposals jointly with other organizations ","Other: Not applicable","Hampton Roads Adaptation Forum","Technical Advisory Committee",NA,NA,NA,"6","6",NA,NA,NA,"Strongly Agree","Somewhat Agree",NA,NA,NA,"Somewhat Agree","Somewhat Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","R_2R9XA8u6De3XaZr","A major aspect of my work for 1-5 years","wetlands watch",NA,"Community Engagement Project Manager",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","R_2cww3zEQ3DVbQU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","R_2aFbuwojDCkd99y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","R_1kGJ67jvCWmBV9B","No involvement",NA,"education/consulting/research","consultant","Somewhat Informed","Somewhat Informed","Not Concerned","Concerned","Fairly High","Scientists’ participation into policy meeting,Increased public availability of scientific knowledge,Stakeholder agreement on the interpretation of scientific information","In the next few years","Coastlines ,Property values  ,Public health ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Complete vulnerability assessments for all the cities and counties as soon as possible ,Promote projects aimed at accommodating sea-level rise with “green” infrastructure ","Other: No collaborative activiies","Uncertainty about how quickly sea level rise will happen ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","R_1eXAmiYB6XnvUII","A major aspect of my work for 1-5 years","old dominion university","education/consulting/research","Assistant Professor","Well-Informed","Well-Informed","Somewhat Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Creation of a single platform of available scientific information,Increased funding for research practice and hirings in local government","They are starting to be felt right now","Transportation infrastructure ,Waste and storm water infrastructure ,Disadvantaged communities ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Complete vulnerability assessments for all the cities and counties as soon as possible ,Focus attention on the impact of sea-level rise on historically underserved communities in the area ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Carrying out research projects jointly with other organizations ","Scarce budgetary/staff resources ,Lack of political leadership of elected officials ,Permitting obstacles ","Vertical Land Motion Workshop","Drone Mapping Workshop","Living Shoreline Planning",NA,NA,"6","8","9",NA,NA,"Somewhat Agree","Somewhat Agree","Strongly Agree",NA,NA,"Somewhat Agree","Somewhat Agree","Strongly Agree",NA,NA,"7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","R_2zr86RxPyGvY1Hq","A major aspect of my work for less than a year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","R_0Us3CaEMSTvmO3v",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","R_RP5m9mEryQGXqQV","A part of my work, with routine involvement","volkert","other: engineering","Senior Project Manager","Somewhat Informed","Very Well Informed","Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meeting,Stakeholder agreement on the interpretation of scientific information","They have been felt for a while already","Transportation infrastructure ,Coastlines ,Property values  ","Pass a tax measure at the local/regional/state level to address sea-level rise,Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise ,Build a seawall, living shorelines, flood barriers, wetland restoration, and other armored solutions","Sharing information with other organizations ,Implementing projects jointly with another organizations ,Sharing personnel with other organizations ,Preparing grant/funding proposals jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ","Scarce budgetary/staff resources ,Lack of experience collaborating with other organizations in the Hampton Roads area,Distrust among stakeholders ,Uncertainty about the future extent of sea level rise ,Uncertainty about how quickly sea level rise will happen ,Permitting obstacles ,Lack of public support for policies addressing Sea Level Rise ,Climate science deniers ,Lack of relationships with community-based organizations ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USACE","VDOT","City of Norfolk",NA,NA
