"","ResponseId","involvement","primary_org","org_type_assigned","tasks","sector","scale","scale_location","land_use","years","concern_25_slr","concern_25_heat","concern_25_flood","concern_25_drought","concern_25_fire","concern_25_smoke","concern_25_aq","concern_25_wq","concern_2100_slr","concern_2100_heat","concern_2100_flood","concern_2100_drought","concern_2100_fire","concern_2100_smoke","concern_2100_aq","concern_2100_wq","top_sector","app","collab_acts","barriers","str_fl1","str_fl2","str_fl3","str_fl4","str_fl5","str_fl6","str_fl_o","str_eco1","str_eco2","str_eco3","str_eco4","str_eco_o","str_ag1","str_ag2","str_ag3","str_ag4","str_ag_o","str_ws1","str_ws2","str_ws3","str_ws4","str_ws5","str_ws_o","funding_fed","funding_state","funding_reg","funding_local","funding_phil","funding_dist","funding_tax","funding_o","forum_art","forum_baycan","forum_crc","forum_da","forum_sfep","forum_ccccl","forum_ccse","forum_sccc","forum_rpp","forum_sr","forum_sjrcc","forum_sbrr","forum_yccac","forum_ycrrc","forum_ryc","forum_involvement_o","forum_rank_art","forum_rank_baycan","forum_rank_crc","forum_rank_da","forum_rank_sfep","forum_rank_ccccl","forum_rank_ccse","forum_rank_sccc","forum_rank_rpp","forum_rank_sr","forum_rank_sjrcc","forum_rank_sbrr","forum_rank_yccac","forum_rank_ycrrc","forum_rank_ryc","forum_rank_o","forum1_learn_art","forum1_learn_baycan","forum1_learn_crc","forum1_learn_da","forum1_learn_sfep","forum1_learn_ccccl","forum1_learn_ccse","forum1_learn_sccc","forum1_learn_rpp","forum1_learn_sr","forum1_learn_sjrcc","forum1_learn_sbrr","forum1_learn_yccac","forum1_learn_ycrrc","forum1_learn_ryc","forum_learn_o","forum2_action_art","forum2_action_baycan","forum2_action_crc","forum2_action_da","forum2_action_sfep","forum2_action_ccccl","forum2_action_ccse","forum2_action_sccc","forum2_action_rpp","forum2_action_sr","forum2_action_sjrcc","forum2_action_sbrr","forum2_action_yccac","forum2_action_ycrrc","forum2_action_ryc","forum_action_o","forum_sat_1","forum_sat_2","forum_sat_3","forum_sat_4","forum_sat_5","forum_sat_6","forum_sat_7","forum_sat_8","forum_sat_9","forum_sat_10","forum_sat_11","forum_pa_1","forum_pa_2","forum_pa_3","forum_pa_4","forum_pa_5","forum_pa_6","forum_pa_7","forum_pa_8","missing_collab","missing_org_name._1","missing_org_name._2","missing_org_name._3","missing_org_name._4","missing_org_name._5"
"116","R_55vgNqXkJqxLDSB","A major aspect of my work for more than 5 years","San Joaquin Area Flood Control Agency","water_sd","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Planning and design; Project or program management; Outreach or communication","Flood management","Region","Region 4","Rural; Suburban; Urban",10,"Very concerned","Moderately concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Moderately concerned","Very concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Moderately concerned","Very concerned","Agricultural industry; Flood management; Water supply reliability","Identify how climate change will impact the natural/built environment; Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Select the best adaptation options to implement; Implement chosen adaptation solutions; Analyze and synthesize data to evaluate the adaptation solutions; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Implementing projects jointly with other organizations; Signing a formal agreement with another organization; Sharing information with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Engaging in joint planning with other organizations; Streamlining permitting applications jointly with other organizations; Organizing public meetings jointly with other organizations; Preparing grant/funding proposals jointly with other organizations","Permitting obstacles; Limited capacity to acquire funding; Insufficient financial resources","High priority","High priority","Medium priority","High priority","High priority","Medium priority",NA,"Medium priority","Medium priority","Low priority","Medium priority",NA,"Medium priority","Medium priority","Medium priority","Low priority",NA,"Medium priority","High priority","Medium priority","High priority","Medium priority",NA,"Increase a large amount","Increase a large amount","Increase a small amount","Increase a small amount","Increase a small amount","No increase/Stay the same","No increase/Stay the same",NA,"Yes","No","No","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No",NA,1,NA,NA,2,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,"Somewhat effective",NA,NA,"Somewhat effective",NA,NA,NA,NA,NA,"Somewhat effective",NA,NA,NA,NA,NA,NA,"Somewhat agree",NA,NA,"Somewhat agree",NA,NA,NA,NA,NA,"Somewhat agree",NA,NA,NA,NA,NA,NA,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","","","","",""
"117","R_57d6uZ7K7zkJdSY","A major aspect of my work for 1-5 years","Little Manila Rising","cbo_ngo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",""
"118","R_5B2tu30zBnnhAbW","A part of my work, with occasional involvement","The Watershed Project","enviro","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Planning and design; Government relations; Project or program management; Outreach or communication; Community leadership","Ecosystem management; Environmental justice; Public health; Waste and stormwater management; Flood management","County","Contra Costa",NA,NA,"Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Environmental justice 
communities; Public health; Flood management","Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Select the best adaptation options to implement; Implement chosen adaptation solutions; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Sharing information with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Organizing public meetings jointly with other organizations","Lack of effective collaboration among interested parties; Competing visions for adaptation pathways; Unequal capacity of partners to participate in collaborative planning","High priority","High priority","High priority","Medium priority","High priority","High priority",NA,"High priority","High priority","High priority","High priority",NA,"High priority","Medium priority","Medium priority","High priority",NA,"High priority","High priority","Medium priority","High priority","High priority",NA,"Increase a large amount","Increase a large amount","Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a moderate amount","Increase a moderate amount",NA,"Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No",NA,1,2,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very effective","Somewhat effective",NA,NA,"Very effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strongly Agree","Agree",NA,NA,"Strongly Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neutral","Very satisfied","Somewhat satisfied","Neutral","Somewhat satisfied","Somewhat satisfied","Neutral","Somewhat satisfied","Neutral","Neutral","Somewhat satisfied","Somewhat dissatisfied","Neutral","Neutral","Neutral","Neutral","Somewhat satisfied","Neutral","Somewhat satisfied","No","","","","",""
"119","R_5H2ncB1awJsDgFK","A part of my work, with routine involvement","Mbk Engineers","ecr","Planning and design; Advocacy; Technical advising/analysis","Agriculture; Flood management; Water supply","Region","Region 1; Region 2; Region 3; Region 4","Rural; Urban",18,"Somewhat concerned","Somewhat concerned","Moderately concerned","Somewhat concerned","Not at all concerned","Not at all concerned","Not at all concerned","Very concerned","Moderately concerned","Moderately concerned","Very concerned","Moderately concerned","Unsure","Unsure","Somewhat concerned","Very concerned","Ecosystem health; Agricultural industry; Flood management","Identify how climate change will impact the natural/built environment; Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Develop potential adaptation options; Select the best adaptation options to implement; Implement chosen adaptation solutions; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Signing a formal agreement with another organization; Carrying out advocacy activities jointly with other organizations; Sharing information with other organizations; Engaging in joint planning with other organizations; Preparing grant/funding proposals jointly with other organizations","Lack of agreement about the future extent of climate impacts; Limited capacity to acquire funding; Insufficient financial resources","Low priority","High priority","Low priority","Medium priority","High priority","Low priority","High priority: Prioritize OMRR&R of flood and roadway infrastructure","Low priority","Medium priority","Low priority","Low priority","High priority: streamline regulatory pathways to support no-regrets projects","Medium priority","Medium priority","Low priority","No opinion",NA,"High priority","Medium priority","Medium priority","Medium priority","Medium priority",NA,"Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a moderate amount","No opinion","Increase a small amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",""
"120","R_5HhORM9idLb222i","A part of my work, with occasional involvement","California Department Of Food And Agriculture","state_gov","Executive management 
(i.e. top management)","Agriculture","State",NA,"Rural",2,"Moderately concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Energy infrastructure; Agricultural industry; Water supply reliability","Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Select the best adaptation options to implement; Monitor the effects of different adaptation solutions; Communicate climate risks and adaptation opportunities","Sharing information with other organizations; Engaging in joint planning with other organizations; Sharing personnel with other organizations","Limited authority; Insufficient financial resources; Insufficient technical expertise","Medium priority","High priority","Medium priority","Medium priority","High priority","High priority",NA,"Medium priority","Medium priority","High priority","Low priority",NA,"High priority","Medium priority","High priority","High priority",NA,"High priority","High priority","Medium priority","High priority","Medium priority",NA,"Increase a large amount","Increase a moderate amount","Increase a small amount","Increase a small amount","No opinion","No opinion","Increase a small amount",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Delta Plan Interagency Implementation Committee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","I'm not sure",NA,"I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","I'm not sure","I'm not sure","I'm not sure","I'm not sure","I'm not sure","Yes ","","","","",""
"121","R_5IE3r4JKkayllmq","A major aspect of my work for more than 5 years","Metropolitan Water District Of Southern California","water_sd","Technical advising/analysis","Agriculture; Economic development; Ecosystem management; Water supply","Region","Region 3","Rural; Suburban; Urban",12,"Very concerned",NA,"Somewhat concerned","Moderately concerned","Not at all concerned","Not at all concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not at all concerned","Not at all concerned","Moderately concerned","Very concerned","Agricultural industry; Biodiversity; Water supply reliability","Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Develop potential adaptation options; Monitor the effects of different adaptation solutions; Communicate climate risks and adaptation opportunities","Engaging in joint planning with other organizations; Preparing grant/funding proposals jointly with other organizations","Competing visions for adaptation pathways; Limited capacity to acquire funding; Insufficient financial resources","Medium priority","High priority","Medium priority","High priority","Medium priority","Medium priority",NA,"High priority","Medium priority","High priority","Medium priority",NA,"High priority","Medium priority","Medium priority","Medium priority","Medium priority","High priority","Medium priority","Medium priority","High priority","High priority",NA,"Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a small amount","Increase a moderate amount","Increase a small amount","Increase a small amount",NA,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A little effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","","","",""
"122","R_5KoUKzSWqdzqOK7","A part of my work, with occasional involvement","Unknown_294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",""
"123","R_5NeUNKkDf5cQLGg","A major aspect of my work for more than 5 years","University Of California Berkeley","ecr","Scientific research; Outreach or communication","Ecosystem management","Region","Region 2; Region 3","Rural",8,"Very concerned","Somewhat concerned","Very concerned","Moderately concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Moderately concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Moderately concerned","Moderately concerned","Ecosystem health; Flood management; Water supply reliability","Develop models/data about how the local climate will change; Identify how climate change will impact the natural/built environment","Sharing information with other organizations; Training personnel from other organizations; Sharing personnel with other organizations","Adaptation is not my organization’s main focus; Limited authority","High priority","High priority","High priority","Medium priority","Medium priority","Medium priority",NA,"High priority","High priority","High priority","High priority",NA,"High priority","High priority","Medium priority","Medium priority",NA,"High priority","Medium priority","Medium priority","High priority","Medium priority",NA,"Increase a moderate amount","Increase a moderate amount","Increase a moderate amount","Increase a small amount","Increase a moderate amount","Increase a small amount","Increase a small amount",NA,"No","No","No",NA,"No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","","","",""
"124","R_5PRgGFaHsOnvjwJ","A part of my work, with occasional involvement","Delta Protection Commission","state_gov","Policy advising/analysis; Technical advising/analysis; Planning and design; Government relations; Project or program management; Advocacy; Outreach or communication","Agriculture; Economic development; Environmental justice; Transportation; Community development; Water supply; Flood management; Recreation","Region","Region 1; Region 2; Region 3; Region 4","Rural; Suburban",4,"Very concerned","Very concerned","Very concerned","Very concerned","Moderately concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Ecosystem health; Environmental justice 
communities; Recreational access","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",""
"125","R_5PpK43n2YKc2y4e","A part of my work, with occasional involvement","Little Manila Rising","cbo_ngo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",""
"126","R_5QIKOlzuPcAlFJL","A part of my work, with routine involvement","Individual_44",NA,"Community leadership","Recreation","Community","Primarily sport fishing","Suburban",10,"Very concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Energy infrastructure; Water supply reliability; Recreational access","Identify how climate change will impact the natural/built environment; Select the best adaptation options to implement; Monitor the effects of different adaptation solutions; Engage with groups impacted by adaptation efforts","Implementing projects jointly with other organizations; Carrying out research projects jointly with other organizations; Organizing public meetings jointly with other organizations","Lack of agreement about the future extent of climate impacts; Lack of political leadership; Insufficient financial resources","High priority","High priority","High priority","High priority","Low priority","Medium priority",NA,"High priority","High priority","High priority","High priority",NA,"High priority","High priority","High priority","High priority",NA,"High priority","Medium priority","High priority","High priority","High priority",NA,"Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a moderate amount","Increase a large amount","Increase a small amount","Increase a small amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","","","",""
"127","R_5QcrDAkh3kyNO0E","A major aspect of my work for less than a year","Delta Stewardship Council","state_gov","Policy advising/analysis; Technical advising/analysis; Planning and design; Outreach or communication","Agriculture; Economic development; Ecosystem management; Environmental justice; Public health; Water supply; Flood management","State",NA,"Rural; Suburban; Urban",1,"Somewhat concerned","Moderately concerned","Moderately concerned","Moderately concerned","Not at all concerned","Somewhat concerned","Somewhat concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Very concerned","Not at all concerned","Somewhat concerned","Moderately concerned","Moderately concerned","Public health; Flood management; Water supply reliability","Identify how climate change will impact the natural/built environment; Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Select the best adaptation options to implement; Implement chosen adaptation solutions; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities",NA,NA,"High priority","High priority","High priority","Medium priority","Medium priority","Medium priority",NA,"High priority","Medium priority","High priority","Low priority",NA,"Low priority","Medium priority","Medium priority","Medium priority",NA,"High priority","High priority","Medium priority","High priority","Medium priority",NA,"Increase a moderate amount","Increase a moderate amount","Increase a small amount","Increase a small amount","Increase a moderate amount","Increase a moderate amount","Increase a moderate amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",""
"128","R_5RqNOvqeF4n0OWD","A major aspect of my work for 1-5 years","California Department Of Water Resources","state_gov","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Scientific research; Project or program management","Ecosystem management; Energy; Water supply","State",NA,"Urban",5,"Very concerned","Somewhat concerned","Moderately concerned","Moderately concerned","Not at all concerned","Not at all concerned","Not at all concerned","Very concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Somewhat concerned","Not at all concerned","Not at all concerned","Moderately concerned","Ecosystem health; Flood management; Water supply reliability","Develop models/data about how the local climate will change; Identify how climate change will impact the natural/built environment; Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Analyze and synthesize data to evaluate the adaptation solutions; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Carrying out research projects jointly with other organizations; Sharing information with other organizations; Publishing reports or other publicly available documents jointly with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations","Competing visions for adaptation pathways; Limited capacity for community engagement; Unequal capacity of partners to participate in collaborative planning","Low priority","Low priority","High priority","Medium priority","Low priority","Medium priority",NA,"Medium priority","Medium priority","High priority","Medium priority",NA,"Medium priority","No opinion","No opinion","Medium priority",NA,"Medium priority","High priority","High priority","High priority","High priority",NA,"Increase a moderate amount","Increase a moderate amount","Increase a moderate amount","Increase a moderate amount","Increase a moderate amount","Increase a moderate amount","Increase a moderate amount","Increase a moderate amount","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A little effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat dissatisfied","Somewhat dissatisfied","Very satisfied","Very dissatisfied","Neutral","Somewhat dissatisfied","I'm not sure","Somewhat satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","No","","","","",""
"129","R_5Rsxm7SMqqDY0pj","A major aspect of my work for 1-5 years","Delta Stewardship Council","state_gov","Policy advising/analysis; Technical advising/analysis; Planning and design; Project or program management; Outreach or communication","Agriculture; Ecosystem management; Environmental justice; Water supply; Flood management","Region","Region 1; Region 2; Region 3; Region 4","Rural; Suburban; Urban",4.5,"Moderately concerned","Moderately concerned","Very concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Moderately concerned","Very concerned","Very concerned","Very concerned","Ecosystem health; Environmental justice 
communities; Flood management","Identify how climate change will impact the natural/built environment; Participate in adaptation “visioning” exercises (e.g., identifying the goals of climate adaptation); Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Select the best adaptation options to implement; Monitor the effects of different adaptation solutions; Analyze and synthesize data to evaluate the adaptation solutions; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Sharing information with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations","Limited capacity for community engagement; Unequal capacity of partners to participate in collaborative planning","Medium priority","High priority","High priority","High priority","High priority","Medium priority",NA,"High priority","High priority","High priority","High priority",NA,"High priority","Medium priority","Medium priority","Medium priority",NA,"High priority","High priority","Medium priority","High priority","High priority",NA,"Increase a large amount","Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a large amount","Increase a moderate amount","Increase a moderate amount",NA,"Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No",NA,2,NA,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat effective",NA,NA,"Very effective","Somewhat effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree",NA,NA,"Agree","Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Neutral","Somewhat satisfied","Yes ","City of Stockton","City of Tracy","City of Brentwood","City of Rio Vista","City of Lathrop"
"130","R_5SIbxgq5kxhGu41","A major aspect of my work for more than 5 years","State Water Contractors","state_gov","Executive management 
(i.e. top management); Policy advising/analysis; Technical advising/analysis; Scientific research; Government relations; Project or program management; Advocacy; Outreach or communication","Agriculture; Economic development; Ecosystem management; Energy; Water supply; Finance","State",NA,"Rural; Suburban; Urban",17,"Very concerned","Moderately concerned","Moderately concerned","Very concerned","Moderately concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Moderately concerned","Moderately concerned","Very concerned","Moderately concerned","Somewhat concerned","Somewhat concerned","Very concerned","Ecosystem health; Flood management; Water supply reliability","Develop models/data about how the local climate will change; Identify how climate change will impact the natural/built environment; Develop potential adaptation options; Analyze adaptation options’ ability to address climate impacts of concern; Select the best adaptation options to implement; Engage with groups impacted by adaptation efforts; Communicate climate risks and adaptation opportunities","Signing a formal agreement with another organization; Carrying out research projects jointly with other organizations; Sharing information with other organizations; Outreach activities regarding new adaptation-related projects jointly with other organizations; Engaging in joint planning with other organizations; Joining or supporting litigation or other judicial processes","Permitting obstacles; Competing visions for adaptation pathways; Insufficient financial resources","High priority","High priority","High priority","High priority","High priority","High priority",NA,"High priority","High priority","High priority","Medium priority",NA,"Medium priority","Medium priority","High priority","High priority",NA,"High priority","High priority","High priority","High priority","High priority",NA,"Increase a large amount","Increase a large amount","Increase a moderate amount","Increase a small amount","Increase a small amount","Increase a small amount","Increase a small amount",NA,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat effective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat satisfied","Neutral","Somewhat dissatisfied","I'm not sure","Neutral","Somewhat satisfied","Somewhat dissatisfied","I'm not sure","I'm not sure","Neutral","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Neutral","Neutral","Neutral","Yes ","","","","",""
